ID,Name,Species,Age,Category
CVCL_2415,COR-L47,Homo sapiens,67Y,Cancer cell line
CVCL_2416,COR-L51,Homo sapiens,71Y,Cancer cell line
CVCL_2417,COR-L64,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1141,COR-L88,Homo sapiens,55Y,Cancer cell line
CVCL_2419,COV318,Homo sapiens,,Cancer cell line
CVCL_2420,COV362,Homo sapiens,,Cancer cell line
CVCL_2421,COV362.4,Homo sapiens,,Cancer cell line
CVCL_2422,COV413A,Homo sapiens,,Cancer cell line
CVCL_2423,COV413B,Homo sapiens,,Cancer cell line
CVCL_2010,COV434,Homo sapiens,,Cancer cell line
CVCL_2424,COV504,Homo sapiens,,Cancer cell line
CVCL_2425,COV644,Homo sapiens,,Cancer cell line
CVCL_1146,CPC-N,Homo sapiens,Age unspecified,Cancer cell line
CVCL_QY04,CQ4-iPSC clone 14,Homo sapiens,4Y,Induced pluripotent stem cell
CVCL_UM97,CQ4-iPSC clone 34,Homo sapiens,4Y,Induced pluripotent stem cell
CVCL_M593,CRMM-1,Homo sapiens,Age unspecified,Cancer cell line
CVCL_M594,CRMM-2,Homo sapiens,Age unspecified,Cancer cell line
CVCL_IJ20,CTL07-II,Homo sapiens,,Induced pluripotent stem cell
CVCL_JL73,CTRL-10-I,Homo sapiens,,Induced pluripotent stem cell
CVCL_JL74,CTRL-9-II,Homo sapiens,,Induced pluripotent stem cell
CVCL_W664,CTSC-1,Homo sapiens,,Cancer cell line
CVCL_RQ00,CU-ACC1,Homo sapiens,68Y,Cancer cell line
CVCL_RQ01,CU-ACC2,Homo sapiens,26Y,Cancer cell line
CVCL_W917,CUTC48,Homo sapiens,68Y,Cancer cell line
CVCL_W916,CUTC5,Homo sapiens,73Y,Cancer cell line
CVCL_VM61,CUTC60,Homo sapiens,59Y,Cancer cell line
CVCL_VM62,CUTC61,Homo sapiens,72Y,Cancer cell line
CVCL_1151,CW-2,Homo sapiens,55Y,Cancer cell line
CVCL_LI36,CWR-R1ca,Homo sapiens,Adult,Cancer cell line
CVCL_LI38,CWR22Pc,Homo sapiens,Adult,Cancer cell line
CVCL_2011,CX-1,Homo sapiens,44Y,Cancer cell line
CVCL_1153,D-247MG,Homo sapiens,80Y,Cancer cell line
CVCL_5735,D-54MG,Homo sapiens,53Y,Cancer cell line
CVCL_0018,D341 Med,Homo sapiens,3Y5M,Cancer cell line
CVCL_4360,Dami,Homo sapiens,30Y,Cancer cell line
CVCL_0243,DAN-G,Homo sapiens,68Y,Cancer cell line
CVCL_1167,Daoy,Homo sapiens,4Y,Cancer cell line
CVCL_0008,Daudi,Homo sapiens,16Y,Cancer cell line
CVCL_1168,DB,Homo sapiens,45Y,Cancer cell line
CVCL_2885,De Gin,Homo sapiens,60Y,Finite cell line
CVCL_4161,DEOC-1,Homo sapiens,59Y,Cancer cell line
CVCL_UG56,Der(22)-iPS-C2,Homo sapiens,1M,Induced pluripotent stem cell
CVCL_UG57,Der(22)-iPS-C4,Homo sapiens,1M,Induced pluripotent stem cell
CVCL_2016,DERL-2,Homo sapiens,30Y,Cancer cell line
CVCL_2017,DERL-7,Homo sapiens,30Y,Cancer cell line
CVCL_2430,Detroit 532,Homo sapiens,2M,Finite cell line
CVCL_1171,Detroit 562,Homo sapiens,Age unspecified,Cancer cell line
CVCL_9V18,DFW,Homo sapiens,,Cancer cell line
CVCL_0244,DG-75,Homo sapiens,10Y,Cancer cell line
CVCL_6895,DiFi,Homo sapiens,46Y,Cancer cell line
CVCL_1173,DK-MG,Homo sapiens,67Y,Cancer cell line
CVCL_0248,DLD-1,Homo sapiens,Adult,Cancer cell line
CVCL_2019,DM-3,Homo sapiens,62Y,Cancer cell line
CVCL_1175,DMS 153,Homo sapiens,44Y,Cancer cell line
CVCL_1176,DMS 273,Homo sapiens,50Y,Cancer cell line
CVCL_2438,DMS 454,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1177,DMS 53,Homo sapiens,54Y,Cancer cell line
CVCL_1178,DMS 79,Homo sapiens,65Y,Cancer cell line
CVCL_2439,DMS 92,Homo sapiens,39Y,Cancer cell line
CVCL_1179,DoHH2,Homo sapiens,60Y,Cancer cell line
CVCL_1180,DOK,Homo sapiens,57Y,Cancer cell line
CVCL_6774,DOV13,Homo sapiens,,Cancer cell line
CVCL_DP75,DP31,Homo sapiens,14Y,Finite cell line
CVCL_DP68,DP74,Homo sapiens,16Y,Finite cell line
CVCL_DP76,DP75,Homo sapiens,24Y,Finite cell line
CVCL_6286,DRO,Homo sapiens,54Y,Cancer cell line
CVCL_0105,DU145,Homo sapiens,69Y,Cancer cell line
CVCL_1183,DU4475,Homo sapiens,62Y,Cancer cell line
CVCL_1184,DV-90,Homo sapiens,50Y,Cancer cell line
CVCL_4834,E006AA,Homo sapiens,58Y,Cancer cell line
CVCL_AV62,EAM306,Homo sapiens,59Y,Cancer cell line
CVCL_F287,EB [Human colon carcinoma],Homo sapiens,Age unspecified,Cancer cell line
CVCL_2027,EB1,Homo sapiens,9Y,Cancer cell line
CVCL_1185,EB3 [Human Burkitt lymphoma],Homo sapiens,3Y,Cancer cell line
CVCL_2891,EBC-1,Homo sapiens,69Y,Cancer cell line
CVCL_7260,ECC-1,Homo sapiens,39Y,Cancer cell line
CVCL_2029,ECV-304,Homo sapiens,82Y,Cancer cell line
CVCL_L431,Edom-iPS-1,Homo sapiens,,Induced pluripotent stem cell
CVCL_L432,Edom-iPS-2,Homo sapiens,,Induced pluripotent stem cell
CVCL_L433,Edom-iPS-3,Homo sapiens,,Induced pluripotent stem cell
CVCL_L430,Edom22,Homo sapiens,,Somatic stem cell
CVCL_1191,EFE-184,Homo sapiens,69Y,Cancer cell line
CVCL_0253,EFM-19,Homo sapiens,50Y,Cancer cell line
CVCL_1812,EFM-192A,Homo sapiens,46Y,Cancer cell line
CVCL_1192,EFO-27,Homo sapiens,36Y,Cancer cell line
CVCL_2030,EJM,Homo sapiens,58Y,Cancer cell line
CVCL_1195,EKVX,Homo sapiens,Age unspecified,Cancer cell line
CVCL_C115,Elf1,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_1196,EM-2,Homo sapiens,5Y,Cancer cell line
CVCL_0258,EoL-1,Homo sapiens,33Y,Cancer cell line
CVCL_1197,EPLC-272H,Homo sapiens,57Y,Cancer cell line
CVCL_3509,ES-2,Homo sapiens,47Y,Cancer cell line
CVCL_1198,ES1,Homo sapiens,,Cancer cell line
CVCL_1200,ES4,Homo sapiens,,Cancer cell line
CVCL_1204,ES8,Homo sapiens,,Cancer cell line
CVCL_B854,ESI-017,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_B856,ESI-035,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_B857,ESI-049,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_B858,ESI-051,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_B859,ESI-053,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_2035,ESO-26,Homo sapiens,56Y,Cancer cell line
CVCL_2036,ESO-51,Homo sapiens,74Y,Cancer cell line
CVCL_8857,EU-1,Homo sapiens,15Y,Cancer cell line
CVCL_8864,EU-6,Homo sapiens,9Y,Cancer cell line
CVCL_VE38,EURACi001-A,Homo sapiens,36Y,Induced pluripotent stem cell
CVCL_VE39,EURACi002-A,Homo sapiens,22Y,Induced pluripotent stem cell
CVCL_VE40,EURACi003-A,Homo sapiens,43Y,Induced pluripotent stem cell
CVCL_1207,Evsa-T,Homo sapiens,58Y,Cancer cell line
CVCL_3446,EW-2,Homo sapiens,19Y,Cancer cell line
CVCL_1216,EW-3,Homo sapiens,14Y,Cancer cell line
CVCL_V618,EW-8,Homo sapiens,,Cancer cell line
CVCL_2895,FA18JTO,Homo sapiens,,Finite cell line
CVCL_2896,FA9JTO,Homo sapiens,,Finite cell line
CVCL_1218,FaDu,Homo sapiens,56Y,Cancer cell line
CVCL_5750,FAMPAC-A,Homo sapiens,43Y,Cancer cell line
CVCL_2045,FLO-1,Homo sapiens,68Y,Cancer cell line
CVCL_J359,FRI,Homo sapiens,Age unspecified,Cancer cell line
CVCL_UM39,FRIMOi001-A,Homo sapiens,51Y,Induced pluripotent stem cell
CVCL_UM40,FRIMOi002-A,Homo sapiens,63Y,Induced pluripotent stem cell
CVCL_UM41,FRIMOi003-A,Homo sapiens,29Y,Induced pluripotent stem cell
CVCL_UM42,FRIMOi004-A,Homo sapiens,20Y,Induced pluripotent stem cell
CVCL_1219,FTC-133,Homo sapiens,42Y,Cancer cell line
CVCL_2446,FTC-236,Homo sapiens,42Y,Cancer cell line
CVCL_2447,FTC-238,Homo sapiens,42Y,Cancer cell line
CVCL_AQ51,FU-NB-2006,Homo sapiens,9Y,Cancer cell line
CVCL_2047,FU-OV-1,Homo sapiens,65Y,Cancer cell line
CVCL_2908,Fu97,Homo sapiens,66Y,Cancer cell line
CVCL_2909,G-292 clone A141B1,Homo sapiens,9Y,Cancer cell line
CVCL_1220,G-361,Homo sapiens,31Y,Cancer cell line
CVCL_0270,G-401,Homo sapiens,3M,Cancer cell line
CVCL_1221,G-402,Homo sapiens,9M,Cancer cell line
CVCL_1222,GA-10,Homo sapiens,41Y,Cancer cell line
CVCL_1225,GAK,Homo sapiens,86Y,Cancer cell line
CVCL_1227,GB-1,Homo sapiens,35Y,Cancer cell line
CVCL_6903,GBC-SD,Homo sapiens,61Y,Cancer cell line
CVCL_2910,GCH-nu-YS,Homo sapiens,Fetus,Cancer cell line
CVCL_1230,GDM-1,Homo sapiens,66Y,Cancer cell line
CVCL_9011,GENEA002,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9024,GENEA015,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9025,GENEA016,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9026,GENEA017-HD,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9027,GENEA018-HD,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9028,GENEA019,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9029,GENEA020,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9030,GENEA021,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9031,GENEA022,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9051,GENEA042,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9052,GENEA043,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9055,GENEA046-HD,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9056,GENEA047,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9058,GENEA049,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9059,GENEA050,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9061,GENEA052,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9062,GENEA053,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9066,GENEA057,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9075,GENEA066,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_9076,GENEA067,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_B886,GENEA078,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_B887,GENEA079,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_B888,GENEA080,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_M240,GENEA089,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_M241,GENEA090,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_M242,GENEA091,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_M243,GENEA096,Homo sapiens,Blastocyst stage,Embryonic stem cell
CVCL_1231,GI-1,Homo sapiens,61Y,Cancer cell line
CVCL_1232,GI-ME-N,Homo sapiens,3Y6M,Cancer cell line
CVCL_QX34,GIS2014-SB2C20,Homo sapiens,55Y,Induced pluripotent stem cell
CVCL_QX35,GIS2014-SB3C16,Homo sapiens,58Y,Induced pluripotent stem cell
CVCL_QX36,GIS2014-WT2C15,Homo sapiens,50Y,Induced pluripotent stem cell
CVCL_QX37,GIS2014-WT3C16,Homo sapiens,61Y,Induced pluripotent stem cell
CVCL_QX38,GIS2014-WT4C10,Homo sapiens,29Y,Induced pluripotent stem cell
CVCL_8207,GLC-2,Homo sapiens,41Y,Cancer cell line
CVCL_8215,GLC-36,Homo sapiens,,Cancer cell line
CVCL_V547,GM00084,Homo sapiens,1M,Finite cell line
CVCL_W149,GM02439,Homo sapiens,9Y,Finite cell line
CVCL_VE85,GM02439 GM1-iPSC clone 2,Homo sapiens,9Y,Induced pluripotent stem cell
CVCL_VE86,GM02439 GM1-iPSC clone 3,Homo sapiens,9Y,Induced pluripotent stem cell
CVCL_X284,GM03330,Homo sapiens,1D,Finite cell line
CVCL_7398,GM03657,Homo sapiens,68Y,Transformed cell line
CVCL_9R20,GM04496,Homo sapiens,6Y,Finite cell line
CVCL_GY21,GM04594,Homo sapiens,36Y,Finite cell line
CVCL_X456,GM06144,Homo sapiens,2M,Finite cell line
CVCL_N126,GM09947,Homo sapiens,31Y,Transformed cell line
CVCL_N127,GM09948,Homo sapiens,31Y,Transformed cell line
CVCL_8B12,GM11851,Homo sapiens,4M,Finite cell line
CVCL_W059,GM17819,Homo sapiens,32Y,Finite cell line
CVCL_P116,GM19079,Homo sapiens,Age unspecified,Transformed cell line
CVCL_P119,GM19082,Homo sapiens,Age unspecified,Transformed cell line
CVCL_P122,GM19085,Homo sapiens,Age unspecified,Transformed cell line
CVCL_0U54,GM19226,Homo sapiens,Age unspecified,Transformed cell line
CVCL_M916,GM23721,Homo sapiens,81Y,Transformed cell line
CVCL_AT69,GNE-587170,Homo sapiens,,Undefined cell line type
CVCL_2050,GOS-3,Homo sapiens,54Y,Cancer cell line
CVCL_2911,GOTO.P3,Homo sapiens,1Y1M,Cancer cell line
CVCL_2450,GP2d,Homo sapiens,71Y,Cancer cell line
CVCL_1235,GP5d,Homo sapiens,71Y,Cancer cell line
CVCL_2451,GR-M,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1818,Granta-519,Homo sapiens,58Y,Cancer cell line
CVCL_5759,H-MESO-1,Homo sapiens,35Y,Cancer cell line
CVCL_5760,H-MESO-1A,Homo sapiens,35Y,Cancer cell line
CVCL_DE08,H1.NPC-i1,Homo sapiens,Blastocyst stage,Induced pluripotent stem cell
CVCL_DE09,H1.NPC-i2,Homo sapiens,Blastocyst stage,Induced pluripotent stem cell
CVCL_DE10,H1.NPC-i3,Homo sapiens,Blastocyst stage,Induced pluripotent stem cell
CVCL_VR28,H2087-LCC1-1,Homo sapiens,69Y,Transformed cell line
CVCL_VR29,H2087-LCC1-2,Homo sapiens,69Y,Transformed cell line
CVCL_VR27,H2087-TGL,Homo sapiens,69Y,Transformed cell line
CVCL_1239,H4,Homo sapiens,37Y,Cancer cell line
CVCL_0038,HaCaT,Homo sapiens,62Y,Spontaneously immortalized cell line
CVCL_6213,HB-CLS-1,Homo sapiens,62Y,Cancer cell line
CVCL_6214,HB-CLS-2,Homo sapiens,50Y,Cancer cell line
CVCL_6907,HB611,Homo sapiens,1Y,Cancer cell line
CVCL_4362,HBL-100,Homo sapiens,Age unspecified,Transformed cell line
CVCL_4220,HBL-52,Homo sapiens,47Y,Cancer cell line
CVCL_JQ59,HBLAK,Homo sapiens,80Y,Spontaneously immortalized cell line
CVCL_2916,HCA1,Homo sapiens,,Cancer cell line
CVCL_0289,HCA7,Homo sapiens,58Y,Cancer cell line
CVCL_V708,HCC10,Homo sapiens,60Y,Cancer cell line
CVCL_1244,HCC1008,Homo sapiens,67Y,Cancer cell line
CVCL_V674,HCC1010,Homo sapiens,61Y,Cancer cell line
CVCL_V675,HCC1011,Homo sapiens,37Y,Cancer cell line
CVCL_V676,HCC1033,Homo sapiens,54Y,Cancer cell line
CVCL_V678,HCC1054,Homo sapiens,56Y,Cancer cell line
CVCL_1245,HCC1143,Homo sapiens,52Y,Cancer cell line
CVCL_9699,HCC1159,Homo sapiens,48Y,Cancer cell line
CVCL_V651,HCC1162,Homo sapiens,58Y,Cancer cell line
CVCL_5126,HCC1171,Homo sapiens,58Y,Cancer cell line
CVCL_1247,HCC1187,Homo sapiens,41Y,Cancer cell line
CVCL_V719,HCC12,Homo sapiens,45Y,Cancer cell line
CVCL_V684,HCC1217,Homo sapiens,50Y,Cancer cell line
CVCL_V704,HCC122,Homo sapiens,48Y,Cancer cell line
CVCL_V685,HCC1261,Homo sapiens,Age unspecified,Cancer cell line
CVCL_V686,HCC1263,Homo sapiens,20Y,Cancer cell line
CVCL_V670,HCC1314,Homo sapiens,45Y,Cancer cell line
CVCL_V673,HCC1347,Homo sapiens,66Y,Cancer cell line
CVCL_V663,HCC1354,Homo sapiens,75Y,Cancer cell line
CVCL_5128,HCC1359,Homo sapiens,55Y,Cancer cell line
CVCL_V665,HCC1367,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1249,HCC1395,Homo sapiens,40Y,Cancer cell line
CVCL_1251,HCC1419,Homo sapiens,42Y,Cancer cell line
CVCL_1252,HCC1428,Homo sapiens,49Y,Cancer cell line
CVCL_L088,HCC1438,Homo sapiens,43Y,Cancer cell line
CVCL_V589,HCC1445,Homo sapiens,68Y,Cancer cell line
CVCL_V591,HCC1482,Homo sapiens,62Y,Cancer cell line
CVCL_V702,HCC149,Homo sapiens,58Y,Cancer cell line
CVCL_V592,HCC1493,Homo sapiens,43Y,Cancer cell line
CVCL_2057,HCC15,Homo sapiens,47Y,Cancer cell line
CVCL_1254,HCC1500,Homo sapiens,32Y,Cancer cell line
CVCL_V595,HCC1534,Homo sapiens,Age unspecified,Cancer cell line
CVCL_V596,HCC1561,Homo sapiens,72Y,Cancer cell line
CVCL_1255,HCC1569,Homo sapiens,70Y,Cancer cell line
CVCL_V597,HCC1576,Homo sapiens,Age unspecified,Cancer cell line
CVCL_A351,HCC1588,Homo sapiens,63Y,Cancer cell line
CVCL_1256,HCC1599,Homo sapiens,44Y,Cancer cell line
CVCL_V657,HCC1623,Homo sapiens,58Y,Cancer cell line
CVCL_V654,HCC1705,Homo sapiens,Age unspecified,Cancer cell line
CVCL_L089,HCC1719,Homo sapiens,60Y,Cancer cell line
CVCL_1258,HCC1806,Homo sapiens,60Y,Cancer cell line
CVCL_5129,HCC1833,Homo sapiens,69Y,Cancer cell line
CVCL_V578,HCC1897,Homo sapiens,47Y,Cancer cell line
CVCL_5130,HCC193,Homo sapiens,71Y,Cancer cell line
CVCL_0290,HCC1937,Homo sapiens,24Y,Cancer cell line
CVCL_V661,HCC1943,Homo sapiens,63Y,Cancer cell line
CVCL_V603,HCC1944,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1259,HCC1954,Homo sapiens,61Y,Cancer cell line
CVCL_VR25,HCC1954-LCC1,Homo sapiens,61Y,Cancer cell line
CVCL_VR26,HCC1954-LCC2,Homo sapiens,61Y,Cancer cell line
CVCL_VR24,HCC1954-TGL,Homo sapiens,61Y,Cancer cell line
CVCL_V739,HCC1972,Homo sapiens,54Y,Cancer cell line
CVCL_2062,HCC202,Homo sapiens,82Y,Cancer cell line
CVCL_VF97,HCC21,Homo sapiens,42Y,Cancer cell line
CVCL_A352,HCC2108,Homo sapiens,Age unspecified,Cancer cell line
CVCL_1261,HCC2157,Homo sapiens,48Y,Cancer cell line
CVCL_3375,HCC2185,Homo sapiens,49Y,Cancer cell line
CVCL_1263,HCC2218,Homo sapiens,38Y,Cancer cell line
CVCL_V635,HCC2270,Homo sapiens,64Y,Cancer cell line
CVCL_5131,HCC2279,Homo sapiens,52Y,Cancer cell line
CVCL_V636,HCC2302,Homo sapiens,Age unspecified,Cancer cell line
CVCL_A353,HCC2374,Homo sapiens,69Y,Cancer cell line
CVCL_3376,HCC2688,Homo sapiens,Age unspecified,Cancer cell line
CVCL_V586,HCC2814,Homo sapiens,55Y,Cancer cell line
CVCL_V587,HCC2846,Homo sapiens,71Y,Cancer cell line
CVCL_V588,HCC2885,Homo sapiens,Age unspecified,Cancer cell line
CVCL_0V16,HCC2911,Homo sapiens,,Cancer cell line
CVCL_1265,HCC2935,Homo sapiens,39Y,Cancer cell line
CVCL_1266,HCC2998,Homo sapiens,Age unspecified,Cancer cell line
CVCL_V582,HCC3051,Homo sapiens,63Y,Cancer cell line
CVCL_3377,HCC3153,Homo sapiens,Age unspecified,Cancer cell line
CVCL_0V17,HCC3212,Homo sapiens,,Cancer cell line
CVCL_2058,HCC33,Homo sapiens,52Y,Cancer cell line
CVCL_0V18,HCC3303,Homo sapiens,,Cancer cell line
CVCL_V726,HCC345,Homo sapiens,60Y,Cancer cell line
CVCL_5134,HCC364,Homo sapiens,76Y,Cancer cell line
CVCL_2059,HCC366,Homo sapiens,80Y,Cancer cell line
CVCL_1267,HCC38,Homo sapiens,50Y,Cancer cell line
CVCL_VG04,HCC40-CL,Homo sapiens,66Y,Cancer cell line
CVCL_1269,HCC4006,Homo sapiens,>50Y,Cancer cell line
CVCL_S700,HCC4011,Homo sapiens,53Y,Cancer cell line
CVCL_V579,HCC4017,Homo sapiens,62Y,Cancer cell line
CVCL_V581,HCC4019,Homo sapiens,40Y,Cancer cell line
CVCL_V707,HCC407,Homo sapiens,48Y,Cancer cell line
CVCL_2060,HCC44,Homo sapiens,54Y,Cancer cell line
CVCL_5135,HCC461,Homo sapiens,69Y,Cancer cell line
CVCL_5136,HCC515,Homo sapiens,39Y,Cancer cell line
CVCL_V701,HCC597,Homo sapiens,64Y,Cancer cell line
CVCL_G002,HCC60,Homo sapiens,51Y,Cancer cell line
CVCL_V729,HCC630,Homo sapiens,32Y,Cancer cell line
CVCL_1270,HCC70,Homo sapiens,49Y,Cancer cell line
CVCL_2061,HCC78,Homo sapiens,65Y,Cancer cell line
CVCL_V593,HCC826,Homo sapiens,40Y,Cancer cell line
CVCL_2063,HCC827,Homo sapiens,39Y,Cancer cell line
CVCL_V694,HCC850,Homo sapiens,60Y,Cancer cell line
CVCL_V691,HCC880,Homo sapiens,58Y,Cancer cell line
CVCL_V692,HCC889,Homo sapiens,47Y,Cancer cell line
CVCL_V731,HCC89,Homo sapiens,64Y,Cancer cell line
CVCL_6945,HCC94,Homo sapiens,37Y,Cancer cell line
CVCL_5137,HCC95,Homo sapiens,65Y,Cancer cell line
CVCL_V697,HCC954,Homo sapiens,41Y,Cancer cell line
CVCL_V690,HCC985,Homo sapiens,45Y,Cancer cell line
CVCL_6908,HCCC-9810,Homo sapiens,,Cancer cell line
CVCL_6909,HCe-8693,Homo sapiens,53Y,Cancer cell line
CVCL_1272,HCE-T,Homo sapiens,49Y,Transformed cell line
CVCL_9700,HCjE,Homo sapiens,82Y,Telomerase immortalized cell line
CVCL_9V72,HCL BMF-PI 51,Homo sapiens,12Y,Finite cell line
CVCL_UZ28,HCLE,Homo sapiens,30Y,Telomerase immortalized cell line
CVCL_U985,hCMEC/D3,Homo sapiens,,Transformed cell line
CVCL_2918,HCS-2,Homo sapiens,42Y,Cancer cell line
CVCL_UF06,HCS1220,Homo sapiens,69Y,Cancer cell line
CVCL_2919,HCSC-1,Homo sapiens,48Y,Cancer cell line
CVCL_0291,HCT 116,Homo sapiens,48Y,Cancer cell line
CVCL_0292,HCT 15,Homo sapiens,,Cancer cell line
CVCL_2478,HCT 8,Homo sapiens,,Cancer cell line
CVCL_2067,HDQ-P1,Homo sapiens,50Y,Cancer cell line
CVCL_0294,HEC-1-B,Homo sapiens,71Y,Cancer cell line
CVCL_2923,HEC-108,Homo sapiens,,Cancer cell line
CVCL_2924,HEC-116,Homo sapiens,,Cancer cell line
CVCL_2925,HEC-151,Homo sapiens,,Cancer cell line
CVCL_2927,HEC-251,Homo sapiens,53Y,Cancer cell line
CVCL_2928,HEC-265,Homo sapiens,59Y,Cancer cell line
CVCL_2929,HEC-50B,Homo sapiens,,Cancer cell line
CVCL_2930,HEC-59,Homo sapiens,,Cancer cell line
CVCL_2931,HEC-6,Homo sapiens,48Y,Cancer cell line
CVCL_2932,HEC-88nu,Homo sapiens,,Cancer cell line
CVCL_0045,HEK293,Homo sapiens,Fetus,Transformed cell line
CVCL_6974,HEK293-EBNA,Homo sapiens,Fetus,Transformed cell line
CVCL_6996,HEK293-ET,Homo sapiens,Fetus,Transformed cell line
CVCL_6911,HEK293-FT,Homo sapiens,Fetus,Transformed cell line
CVCL_1926,HEK293T/17,Homo sapiens,Fetus,Transformed cell line
CVCL_0001,HEL,Homo sapiens,30Y,Cancer cell line
CVCL_2480,HEL 299,Homo sapiens,Fetus,Finite cell line
CVCL_2481,HEL 92.1.7,Homo sapiens,30Y,Cancer cell line
CVCL_0030,HeLa,Homo sapiens,30Y6M,Cancer cell line
CVCL_WJ05,hEM15A,Homo sapiens,33Y,Transformed cell line
CVCL_0326,Hep 3B2.1-7,Homo sapiens,8Y,Cancer cell line
CVCL_0027,Hep-G2,Homo sapiens,15Y,Cancer cell line
CVCL_1098,Hep-G2/C3A,Homo sapiens,15Y,Cancer cell line
CVCL_0297,HEY,Homo sapiens,,Cancer cell line
CVCL_9V94,HFFF-PI 6,Homo sapiens,16FW,Finite cell line
CVCL_K101,HFL-I,Homo sapiens,11FW,Finite cell line
CVCL_9V33,HFLF-PI 4,Homo sapiens,14FW,Finite cell line
CVCL_9V95,HFLF-PI 5,Homo sapiens,14FW,Finite cell line
CVCL_9V96,HFSF-PI 3,Homo sapiens,14FW,Finite cell line
CVCL_1279,HGC-27,Homo sapiens,Age unspecified,Cancer cell line
CVCL_9V99,HGF3-PI 53,Homo sapiens,Age unspecified,Finite cell line
CVCL_0002,HL-60,Homo sapiens,35Y,Cancer cell line
CVCL_A794,HL-60(TB),Homo sapiens,35Y,Cancer cell line
CVCL_1281,HLE,Homo sapiens,64Y,Cancer cell line
CVCL_H206,HMC-1.1,Homo sapiens,52Y,Cancer cell line
CVCL_H205,HMC-1.2,Homo sapiens,52Y,Cancer cell line
CVCL_VF64,HMGEC,Homo sapiens,58Y,Telomerase immortalized cell line
CVCL_1282,HMV-II,Homo sapiens,65Y,Cancer cell line
CVCL_2950,HMY-1,Homo sapiens,62Y,Cancer cell line
CVCL_1283,HN,Homo sapiens,60Y,Cancer cell line
CVCL_8128,HN-5,Homo sapiens,73Y,Cancer cell line
CVCL_0308,HNE-1,Homo sapiens,,Cancer cell line
CVCL_FA07,HNE-2,Homo sapiens,,Cancer cell line
CVCL_D215,HNO210,Homo sapiens,69Y,Cancer cell line
CVCL_D219,HNO223,Homo sapiens,,Cancer cell line
CVCL_D221,HNO258,Homo sapiens,,Cancer cell line
CVCL_D224,HNO41,Homo sapiens,52Y,Cancer cell line
CVCL_D227,HNO97,Homo sapiens,72Y,Cancer cell line
CVCL_2071,HNT-34,Homo sapiens,47Y,Cancer cell line
CVCL_5455,HOC-7,Homo sapiens,Age unspecified,Cancer cell line
CVCL_D354,HOG,Homo sapiens,Age unspecified,Cancer cell line
CVCL_8706,HONE-1,Homo sapiens,,Cancer cell line
CVCL_H642,HOP-18,Homo sapiens,,Cancer cell line
CVCL_1285,HOP-62,Homo sapiens,60Y,Cancer cell line
CVCL_1286,HOP-92,Homo sapiens,62Y,Cancer cell line
CVCL_0312,HOS,Homo sapiens,13Y,Cancer cell line
CVCL_3517,HPAC,Homo sapiens,64Y,Cancer cell line
CVCL_0313,HPAF-II,Homo sapiens,44Y,Cancer cell line
CVCL_WL66,HPE-15,Homo sapiens,,Cancer cell line
CVCL_2506,HR5-CL11,Homo sapiens,30Y6M,Cancer cell line
CVCL_1D09,HROBML03,Homo sapiens,Age unspecified,Cancer cell line
CVCL_4U40,HROG05,Homo sapiens,60Y,Cancer cell line
